原省份,原始分,百分位(%),对应山西分,Delta
河北2026历史,616,4.570089808668489,600.4295116201715,-15.570488379828475
河北2026历史,611,5.818039828192113,593.5168150645379,-17.483184935462077
河北2026历史,606,7.3002733307301835,586.774450014247,-19.22554998575299
河北2026历史,601,8.887153455681375,580.693937200598,-20.306062799401957
河北2026历史,596,10.61772745021476,574.4238872103206,-21.576112789679428
河北2026历史,591,12.640374853572823,567.5503440027298,-23.449655997270156
河北2026历史,586,14.822335025380712,560.8279867300852,-25.172013269914828
河北2026历史,581,17.24795001952362,554.0271637979253,-26.972836202074745
河北2026历史,576,20.0,547.1503875968992,-28.849612403100764
河北2026历史,571,22.767668879344004,540.65547502478,-30.344524975219997
河北2026历史,566,25.908629441624363,533.9548015689894,-32.04519843101059
河北2026历史,561,29.290121046466222,527.0301973005171,-33.9698026994829
河北2026历史,556,32.73252635689184,520.4126878849939,-35.58731211500606
河北2026历史,551,36.47637641546271,513.5045515473723,-37.49544845262767
河北2026历史,546,40.48730964467005,506.6728052364414,-39.32719476355862
河北2026历史,541,44.63881296368606,499.673022404279,-41.32697759572102
河北2026历史,536,48.87622022647403,492.89939346609395,-43.100606533906046
河北2026历史,531,53.321358844201484,485.9093520176655,-45.090647982334474
河北2026历史,526,57.7383834439672,479.1745899288139,-46.82541007118613
河北2026历史,521,62.42561499414291,472.04276380835904,-48.95723619164096
河北2026历史,516,67.35806325654042,464.45660468690926,-51.54339531309074
河北2026历史,511,72.42795782897305,456.4611033444889,-54.53889665551111
河北2026历史,506,77.49629051151894,448.55099691471753,-57.44900308528247
河北2026历史,501,82.767668879344,439.99757379495856,-61.002426205041445
河北2026历史,496,88.16087465833658,430.7850796129984,-65.2149203870016
河北2026历史,491,93.53065208902773,421.3667955420088,-69.63320445799121
河北2026历史,486,98.92073408824677,411.0401334956474,-74.95986650435259
浙江2026,692,0.029822582744111394,665.483122225596,-26.51687777440395
浙江2026,687,0.29171908211512604,648.0795623129311,-38.9204376870689
浙江2026,682,0.6864616318917277,637.6071801934672,-44.39281980653277
浙江2026,677,1.2476684162581877,627.8457105056051,-49.1542894943949
浙江2026,672,1.912440897063289,620.0776513508398,-51.9223486491602
浙江2026,667,2.717108402377131,612.965983497487,-54.034016502513055
浙江2026,662,3.699084717824144,605.7312549762609,-56.26874502373914
浙江2026,657,4.839934064980697,598.8228987326057,-58.17710126739428
浙江2026,652,6.087602481238885,592.275654249226,-59.72434575077398
浙江2026,647,7.545113434260182,585.7428927125213,-61.257107287478675
浙江2026,642,9.12137248948076,579.7479693269078,-62.252030673092236
浙江2026,637,10.943803409534551,573.3422131172006,-63.65778688279943
浙江2026,632,12.883355745456123,566.7759135529056,-65.22408644709435
浙江2026,627,15.061488743330587,560.1617835620827,-66.83821643791725
浙江2026,622,17.299809135470436,553.8862978099465,-68.11370219005346
浙江2026,617,19.79026590899232,547.7255792768736,-69.27442072312635
浙江2026,612,22.481889558842667,541.3266007715355,-70.67339922846452
浙江2026,607,25.305274801544268,535.1544496372234,-71.84555036277663
浙江2026,602,28.292955363727064,529.2101671681695,-72.7898328318305
浙江2026,597,31.315880796425628,523.0461010962317,-73.95389890376828
浙江2026,592,34.4998481759424,517.1860086919548,-74.81399130804516
浙江2026,587,37.719602654752094,511.40725103628745,-75.59274896371255
浙江2026,582,40.96972194508307,505.9086337051244,-76.09136629487563
浙江2026,577,44.295211035440076,500.23321535661614,-76.76678464338386
浙江2026,572,47.706372272589256,494.7399109930278,-77.26008900697218
浙江2026,567,51.11048453563527,489.419793803419,-77.580206196581
浙江2026,562,54.50049885047499,484.06278871217705,-77.93721128782295
浙江2026,557,57.9284691797163,478.87821328188966,-78.12178671811034
浙江2026,552,61.362946254283614,473.75884593929624,-78.24115406070376
浙江2026,547,64.77519194898711,468.4010156868443,-78.59898431315571
浙江2026,542,68.28232767969462,463.08258923583395,-78.91741076416605
浙江2026,537,71.6728842233115,457.6741286641755,-79.3258713358245
浙江2026,532,75.11929033097644,452.25824526012457,-79.74175473987543
浙江2026,527,78.58738558972802,446.8586333027984,-80.14136669720159
浙江2026,522,82.02186266429533,441.1765189172034,-80.8234810827966
浙江2026,517,85.29638224959875,435.72406370521537,-81.27593629478463
浙江2026,512,88.59367544354313,430.01176515951164,-81.98823484048836
浙江2026,507,91.88175074827572,424.3875498735107,-82.6124501264893
浙江2026,502,95.11397648896022,418.50039288190686,-83.49960711809314
浙江2026,497,98.16672450440291,412.7046000328731,-84.29539996712691
